,States,x,y
0,Andhra Pradesh,-33,-88
1,Arunachal Pradesh,149,113
2,Assam,132,76
3,Bihar,41,61
4,Chhattisgarh,-5,3
5,Goa,-106,-86
6,Gujarat,-140,23
7,Haryana,-80,105
8,Himachal Pradesh,-73,140
9,Jharkhand,29,33
10,Karnataka,-88,-87
11,Kerala,-73,-169
12,Madhya Pradesh,-61,25
13,Maharashtra,-84,-27
14,Manipur,144,57
15,Meghalaya,97,62
16,Mizoram,135,27
17,Nagaland,152,76
18,Odisha,39,-11
19,Punjab,-91,126
20,Rajasthan,-108,70
21,Sikkim,70,89
22,Tamil Nadu,-39,-142
23,Telangana,-49,-43
24,Tripura,114,39
25,Uttar Pradesh,-28,77
26,Uttarakhand,-44,119
27,West Bengal,65,28
28,Jammu & Kashmir,-81,178
